debt_id	audit_area	baseline_sha	file_path / line_range	finding	impact	evidence / reproduction	category	priority	expected_contract	proposed_fix	regression_test	approval_required / reason	implementation_commit	verification_evidence	status	reviewer / reviewed_at	limitations
TD-001	Admin PIN	f665086	app/pages/admin/maps/[mapId]/editor.vue address lookup	A late address lookup could overwrite a newer spot/floor selection	Wrong placement draft	Resolve requests out of order after selection change	defect	P1	Only the latest request for the same spot/floor may apply	Latest-request generation gate	tests/latest-request.test.ts	no	ce8df5e	focused + full tests	FIXED_VERIFIED	self-review / 2026-09-19	browser network delay was not externally injected
TD-002	Admin mutations	f665086	map editor and spot editor save/upload handlers	Repeated activation could submit the same mutation twice	Duplicate writes and confusing feedback	Handlers lacked an in-flight guard	defect	P1	One active mutation per action	Busy guards and disabled controls	typecheck; browser editor smoke	no	ce8df5e	510 tests; browser smoke	FIXED_VERIFIED	self-review / 2026-09-19	none
TD-003	Lifecycle cleanup	f665086	public page; useMapViewer; spot list	Timers and DOM listeners survived replacement/unmount paths	Stale focus callbacks and retained listeners	Trace open/close, focusSpot, debounce paths	defect	P1	Every timer/listener has repeat and unmount cleanup	Central tracked teardown	existing viewer tests + full suite	no	ce8df5e	510 tests; repeated modal browser flow	FIXED_VERIFIED	self-review / 2026-09-19	browser memory heap not profiled
TD-004	Decoration editor	f665086	app/pages/admin/maps/[mapId]/floors/[floorId]/decorations.vue	Pointer listeners and failed-save state were not fully restored	Leaked interaction and misleading draft	Cancel/unmount/failure path review	defect	P1	Listeners removed and failed save rolls back visibly	Teardown and refresh-on-failure	full suite/typecheck	no	ce8df5e	510 tests	FIXED_VERIFIED	self-review / 2026-09-19	none
TD-005A	Local publication pointer CAS	e3d58c8	server/utils/public-storage.ts	Conditional read/check/write was not serialized for the local driver	Two same-predecessor writes could both commit	Deterministic concurrent same-key conditional writes	data	P0	Exactly one same-predecessor conditional write commits in the supported single-process local deployment	Per-key in-process serialization with documented deployment boundary	tests/public-release.test.ts	no	0e58c5c	522 tests; deterministic CAS race; fresh clone/CI/Windows	FIXED_VERIFIED	self-review / 2026-09-20	Multi-process local storage is not a supported deployment model
TD-005B	Publication DB / pointer consistency	e3d58c8	server/utils/public-release.ts	Publication pointer and DB transitions were not serialized per map	Conflicting successful operations could leave DB/pointer split brain	Concurrent publish/unpublish and rollback interleavings including real PostgreSQL	data	P0	Every successful same-map mutation leaves DB and pointer coherent; conflicting work serializes	PostgreSQL-backed per-map advisory serialization across bounded transition while preserving compensation	unit and isolated PostgreSQL integration tests	no	0e58c5c,7c57e57	four PostgreSQL integration cases; 522 tests; fresh clone/CI/Windows	FIXED_VERIFIED	self-review / 2026-09-20	No global map lock or schema migration; explicit Prisma import fixes Windows direct-module portability
TD-006A	Restore target safety	e3d58c8	scripts/backup-lib.ts; scripts/restore-db.ts	Destination identity preserved postgres/postgresql spelling and only rejected full canonical equality	Alias URLs could bypass same-target check and same database name could be used on another endpoint	Alias/default-port/credential/query and database-name fixtures	operations	P0	Comparison models pg_restore host/port/database and disposable DB name differs from source	Normalize destination identity and require a distinct database name	tests/backup-restore.test.ts	no	3bd1094	unit suite plus local and Windows disposable restore drills	FIXED_VERIFIED	self-review / 2026-09-20	Tests did not touch QA/live DB
TD-006B	Media backup traversal	e3d58c8	scripts/backup-lib.ts	stat followed links before the link check	Backup enumeration could read outside the media root	Outside file/directory and in-root link fixtures	security	P0	Media enumeration rejects symlinks/junctions before traversal	Use lstat and reject link/reparse-like entries	tests/backup-restore.test.ts	no	3bd1094	unit suite; exact 34-file Windows restore; junction rejection PASS	FIXED_VERIFIED	self-review / 2026-09-20	Disposable fixtures cleaned
TD-007	CI	f665086	.github/workflows	No repository CI reran the documented verification chain	Regressions depended on manual execution	No .github workflow at baseline	test	P1	Frozen install, Prisma, DB audit, typecheck, tests and build rerun on PR/work branch	Add PostgreSQL-backed verify workflow	local equivalent commands	no	f77bd84	workflow source and local run	FIXED_VERIFIED	self-review / 2026-09-19	first hosted run requires branch push
TD-008	Spot editor maintainability	f665086	app/pages/admin/spot-editor/[spotId].vue	Compressed untyped response handling and unguarded actions obscured the contract	Higher change and duplicate-action risk	Type/source review	architecture	P2	Typed payload and explicit editable fields with guarded actions	Typed refactor without UI redesign	typecheck and focused tests	no	ce8df5e	typecheck; build	FIXED_VERIFIED	self-review / 2026-09-19	none
